PassengerId,Age,Fare,FamilySize,Pclass,Sex,Embarked,Title_Name,Survived
693,25.0,56.4958,1,3,male,S,Mr,1
482,30.0,0.0,1,2,male,S,Mr,0
528,40.0,221.7792,1,1,male,S,Mr,0
856,18.0,9.35,2,3,female,S,Mrs,1
802,31.0,26.25,3,2,female,S,Mrs,1
653,21.0,8.4333,1,3,male,S,Mr,0
510,26.0,56.4958,1,3,male,S,Mr,1
558,40.0,227.525,1,1,male,C,Mr,0
829,25.0,7.75,1,3,male,Q,Mr,1
19,31.0,18.0,2,3,female,S,Mrs,0
648,56.0,35.5,1,1,male,C,Others,1
403,21.0,9.825,2,3,female,S,Miss,0
847,25.0,69.55,11,3,male,S,Mr,0
468,56.0,26.55,1,1,male,S,Mr,0
52,21.0,7.8,1,3,male,S,Mr,0
413,33.0,90.0,2,1,female,Q,Miss,1
422,21.0,7.7333,1,3,male,Q,Mr,0
251,25.0,7.25,1,3,male,S,Mr,0
819,43.0,6.45,1,3,male,S,Mr,0
410,21.5,25.4667,5,3,female,S,Miss,0
254,30.0,16.1,2,3,male,S,Mr,0
219,32.0,76.2917,1,1,female,C,Miss,1
257,35.0,79.2,1,1,female,C,Mrs,1
227,19.0,10.5,1,2,male,S,Mr,1
295,24.0,7.8958,1,3,male,S,Mr,0
707,45.0,13.5,1,2,female,S,Mrs,1
754,23.0,7.8958,1,3,male,S,Mr,0
198,42.0,8.4042,2,3,male,S,Mr,0
836,39.0,83.1583,3,1,female,C,Miss,1
221,16.0,8.05,1,3,male,S,Mr,1
740,25.0,7.8958,1,3,male,S,Mr,0
34,66.0,10.5,1,2,male,S,Mr,0
431,28.0,26.55,1,1,male,S,Mr,1
151,51.0,12.525,1,2,male,S,Others,0
587,47.0,15.0,1,2,male,S,Mr,0
205,18.0,8.05,1,3,male,S,Mr,1
345,36.0,13.0,1,2,male,S,Mr,0
748,30.0,13.0,1,2,female,S,Miss,1
324,22.0,29.0,3,2,female,S,Mrs,1
265,21.5,7.75,1,3,female,Q,Miss,0
135,25.0,13.0,1,2,male,S,Mr,0
833,25.0,7.2292,1,3,male,C,Mr,0
191,32.0,13.0,1,2,female,S,Mrs,1
108,25.0,7.775,1,3,male,S,Mr,1
193,19.0,7.8542,2,3,female,S,Miss,1
450,52.0,30.5,1,1,male,S,Others,1
97,71.0,34.6542,1,1,male,C,Mr,0
383,32.0,7.925,1,3,male,S,Mr,0
716,19.0,7.65,1,3,male,S,Mr,0
365,25.0,15.5,2,3,male,Q,Mr,0
475,22.0,9.8375,1,3,female,S,Miss,0
435,50.0,55.9,2,1,male,S,Mr,0
64,4.0,27.9,6,3,male,S,Master,0
764,36.0,120.0,4,1,female,S,Mrs,1
749,19.0,53.1,2,1,male,S,Mr,0
843,30.0,31.0,1,1,female,C,Miss,1
644,25.0,56.4958,1,3,male,S,Mr,1
366,30.0,7.25,1,3,male,S,Mr,0
495,21.0,8.05,1,3,male,S,Mr,0
309,30.0,24.0,2,2,male,C,Mr,0
652,18.0,23.0,2,2,female,S,Miss,1
303,19.0,0.0,1,3,male,S,Mr,0
717,38.0,227.525,1,1,female,C,Miss,1
820,10.0,27.9,6,3,male,S,Master,0
733,30.0,0.0,1,2,male,S,Mr,0
252,29.0,10.4625,3,3,female,S,Mrs,0
155,25.0,7.3125,1,3,male,S,Mr,0
404,28.0,15.85,2,3,male,S,Mr,0
611,39.0,31.275,7,3,female,S,Mrs,0
206,2.0,10.4625,2,3,female,S,Miss,0
220,30.0,10.5,1,2,male,S,Mr,0
694,25.0,7.225,1,3,male,C,Mr,0
687,14.0,39.6875,6,3,male,S,Mr,0
384,35.0,52.0,2,1,female,S,Mrs,1
551,17.0,110.8833,3,1,male,C,Mr,1
469,25.0,7.725,1,3,male,Q,Mr,0
655,18.0,6.75,1,3,female,Q,Miss,0
650,23.0,7.55,1,3,female,S,Miss,1
483,50.0,8.05,1,3,male,S,Mr,0
743,21.0,262.375,5,1,female,C,Miss,1
196,58.0,146.5208,1,1,female,C,Miss,1
44,3.0,41.5792,4,2,female,C,Miss,1
447,13.0,19.5,2,2,female,S,Miss,1
627,57.0,12.35,1,2,male,Q,Others,0
792,16.0,26.0,1,2,male,S,Mr,0
33,21.5,7.75,1,3,female,Q,Miss,1
685,60.0,39.0,3,2,male,S,Mr,0
374,22.0,135.6333,1,1,male,C,Mr,0
419,30.0,13.0,1,2,male,S,Mr,0
845,17.0,8.6625,1,3,male,S,Mr,0
795,25.0,7.8958,1,3,male,S,Mr,0
822,27.0,8.6625,1,3,male,S,Mr,1
180,36.0,0.0,1,3,male,S,Mr,0
416,21.5,8.05,1,3,female,S,Mrs,0
368,21.5,7.2292,1,3,female,C,Mrs,1
714,29.0,9.4833,1,3,male,S,Mr,0
538,30.0,106.425,1,1,female,C,Miss,1
78,25.0,8.05,1,3,male,S,Mr,0
156,51.0,61.3792,2,1,male,C,Mr,0
157,16.0,7.7333,1,3,female,Q,Miss,1
369,21.5,7.75,1,3,female,Q,Miss,1
382,1.0,15.7417,3,3,female,C,Miss,1
396,22.0,7.7958,1,3,male,S,Mr,0
129,21.5,22.3583,3,3,female,C,Miss,1
279,7.0,29.125,6,3,male,Q,Master,0
299,40.0,30.5,1,1,male,S,Mr,1
215,25.0,7.75,2,3,male,Q,Mr,0
810,33.0,53.1,2,1,female,S,Mrs,1
51,7.0,39.6875,6,3,male,S,Master,0
891,32.0,7.75,1,3,male,Q,Mr,0
724,50.0,13.0,1,2,male,S,Mr,0
233,59.0,13.5,1,2,male,S,Mr,0
35,28.0,82.1708,2,1,male,C,Mr,0
46,25.0,8.05,1,3,male,S,Mr,0
695,60.0,26.55,1,1,male,S,Others,0
115,17.0,14.4583,1,3,female,C,Miss,0
123,32.5,30.0708,2,2,male,C,Mr,0
628,21.0,77.9583,1,1,female,S,Miss,1
262,3.0,31.3875,7,3,male,S,Master,1
239,19.0,10.5,1,2,male,S,Mr,0
438,24.0,18.75,6,2,female,S,Mrs,1
586,18.0,79.65,3,1,female,S,Miss,1
797,49.0,25.9292,1,1,female,S,Others,1
255,41.0,20.2125,3,3,female,S,Mrs,0
287,30.0,9.5,1,3,male,S,Mr,1
95,59.0,7.25,1,3,male,S,Mr,0
692,4.0,13.4167,2,3,female,C,Miss,1
141,21.5,15.2458,3,3,female,C,Mrs,0
407,51.0,7.75,1,3,male,S,Mr,0
441,45.0,26.25,3,2,female,S,Mrs,1
425,18.0,20.2125,3,3,male,S,Mr,0
793,21.5,69.55,11,3,female,S,Miss,0
613,21.5,15.5,2,3,female,Q,Miss,1
849,28.0,33.0,2,2,male,S,Others,0
153,55.5,8.05,1,3,male,S,Mr,0
119,24.0,247.5208,2,1,male,C,Mr,0
634,40.0,0.0,1,1,male,S,Mr,0
348,21.5,16.1,2,3,female,S,Mrs,1
784,25.0,23.45,4,3,male,S,Mr,0
160,25.0,69.55,11,3,male,S,Master,0
134,29.0,26.0,2,2,female,S,Mrs,1
269,58.0,153.4625,2,1,female,S,Mrs,1
3,26.0,7.925,1,3,female,S,Miss,1
524,44.0,57.9792,2,1,female,C,Mrs,1
599,25.0,7.225,1,3,male,C,Mr,0
770,32.0,8.3625,1,3,male,S,Mr,0
620,26.0,10.5,1,2,male,S,Mr,0
575,16.0,8.05,1,3,male,S,Mr,0
380,19.0,7.775,1,3,male,S,Mr,0
657,25.0,7.8958,1,3,male,S,Mr,0
772,48.0,7.8542,1,3,male,S,Mr,0
261,25.0,7.75,1,3,male,Q,Mr,0
481,9.0,46.9,8,3,male,S,Master,0
231,35.0,83.475,2,1,female,S,Mrs,1
126,12.0,11.2417,2,3,male,C,Master,1
397,31.0,7.8542,1,3,female,S,Miss,0
867,27.0,13.8583,2,2,female,C,Miss,1
780,43.0,211.3375,2,1,female,S,Mrs,1
768,30.5,7.75,1,3,female,Q,Miss,0
462,34.0,8.05,1,3,male,S,Mr,0
467,30.0,0.0,1,2,male,S,Mr,0
735,23.0,13.0,1,2,male,S,Mr,0
395,24.0,16.7,3,3,female,S,Mrs,1
706,39.0,26.0,1,2,male,S,Mr,0
346,24.0,13.0,1,2,female,S,Miss,1
553,25.0,7.8292,1,3,male,Q,Mr,0
470,0.75,19.2583,4,3,female,C,Miss,1
723,34.0,13.0,1,2,male,S,Mr,0
351,23.0,9.225,1,3,male,S,Mr,0
433,42.0,26.0,2,2,female,S,Mrs,1
6,25.0,8.4583,1,3,male,Q,Mr,0
589,22.0,8.05,1,3,male,S,Mr,0
79,0.83,29.0,3,2,male,S,Master,1
236,21.5,7.55,1,3,female,S,Miss,0
696,52.0,13.5,1,2,male,S,Mr,0
722,17.0,7.0542,2,3,male,S,Mr,0
454,49.0,89.1042,2,1,male,C,Mr,1
415,44.0,7.925,1,3,male,S,Mr,1
752,6.0,12.475,2,3,male,S,Master,1
546,64.0,26.0,1,1,male,S,Mr,0
808,18.0,7.775,1,3,female,S,Miss,0
576,19.0,14.5,1,3,male,S,Mr,0
94,26.0,20.575,4,3,male,S,Mr,0
315,43.0,26.25,3,2,male,S,Mr,0
518,25.0,24.15,1,3,male,Q,Mr,0
817,23.0,7.925,1,3,female,S,Miss,0
267,16.0,39.6875,6,3,male,S,Mr,0
541,36.0,71.0,3,1,female,S,Miss,1
357,22.0,55.0,2,1,female,S,Miss,1
878,19.0,7.8958,1,3,male,S,Mr,0
359,21.5,7.8792,1,3,female,Q,Miss,1
874,47.0,9.0,1,3,male,S,Mr,0
162,40.0,15.75,1,2,female,S,Mrs,1
114,20.0,9.825,2,3,female,S,Miss,0
519,36.0,26.0,2,2,female,S,Mrs,1
176,18.0,7.8542,3,3,male,S,Mr,0
758,18.0,11.5,1,2,male,S,Mr,0
75,32.0,56.4958,1,3,male,S,Mr,1
131,33.0,7.8958,1,3,male,C,Mr,0
605,35.0,26.55,1,1,male,C,Mr,1
439,64.0,263.0,6,1,male,S,Mr,0
263,52.0,79.65,3,1,male,S,Mr,0
859,24.0,19.2583,4,3,female,C,Mrs,1
327,61.0,6.2375,1,3,male,S,Mr,0
235,24.0,10.5,1,2,male,S,Mr,0
669,43.0,8.05,1,3,male,S,Mr,0
517,34.0,10.5,1,2,female,S,Mrs,1
484,63.0,9.5875,1,3,female,S,Mrs,1
642,24.0,69.3,1,1,female,C,Others,1
2,38.0,71.2833,2,1,female,C,Mrs,1
492,21.0,7.25,1,3,male,S,Mr,0
857,45.0,164.8667,3,1,female,S,Mrs,1
87,16.0,34.375,5,3,male,S,Mr,0
665,20.0,7.925,2,3,male,S,Mr,1
182,30.0,15.05,1,2,male,C,Mr,0
639,41.0,39.6875,6,3,female,S,Mrs,0
214,30.0,13.0,1,2,male,S,Mr,0
91,29.0,8.05,1,3,male,S,Mr,0
375,3.0,21.075,5,3,female,S,Miss,0
194,3.0,26.0,3,2,male,S,Master,1
250,54.0,26.0,2,2,male,S,Others,0
393,28.0,7.925,3,3,male,S,Mr,0
664,36.0,7.4958,1,3,male,S,Mr,0
461,48.0,26.55,1,1,male,S,Mr,1
798,31.0,8.6833,1,3,female,S,Mrs,1
871,26.0,7.8958,1,3,male,S,Mr,0
177,25.0,25.4667,5,3,male,S,Master,0
804,0.42,8.5167,2,3,male,C,Master,1
247,25.0,7.775,1,3,female,S,Miss,0
476,40.0,52.0,1,1,male,S,Mr,0
472,38.0,8.6625,1,3,male,S,Mr,0
122,25.0,8.05,1,3,male,S,Mr,0
710,25.0,15.2458,3,3,male,C,Master,1
353,15.0,7.2292,3,3,male,C,Mr,0
21,35.0,26.0,1,2,male,S,Mr,0
668,25.0,7.775,1,3,male,S,Mr,0
140,24.0,79.2,1,1,male,C,Mr,0
584,36.0,40.125,1,1,male,C,Mr,0
555,22.0,7.775,1,3,female,S,Miss,1
661,50.0,133.65,3,1,male,S,Others,1
614,25.0,7.75,1,3,male,Q,Mr,0
204,45.5,7.225,1,3,male,C,Mr,0
720,33.0,7.775,1,3,male,S,Mr,0
647,19.0,7.8958,1,3,male,S,Mr,0
229,18.0,13.0,1,2,male,S,Mr,0
209,16.0,7.75,1,3,female,Q,Miss,1
741,40.0,30.0,1,1,male,S,Mr,1
840,40.0,29.7,1,1,male,C,Mr,1
646,48.0,76.7292,2,1,male,C,Mr,1
522,22.0,7.8958,1,3,male,S,Mr,0
783,29.0,30.0,1,1,male,S,Mr,0
169,40.0,25.925,1,1,male,S,Mr,0
333,38.0,153.4625,2,1,male,S,Mr,0
697,44.0,8.05,1,3,male,S,Mr,0
408,3.0,18.75,3,2,male,S,Master,1
701,18.0,227.525,2,1,female,C,Mrs,1
506,18.0,108.9,2,1,male,C,Mr,0
769,25.0,24.15,2,3,male,Q,Mr,0
8,2.0,21.075,5,3,male,S,Master,0
738,35.0,512.3292,1,1,male,C,Mr,1
852,74.0,7.775,1,3,male,S,Mr,0
674,31.0,13.0,1,2,male,S,Mr,1
736,28.5,16.1,1,3,male,S,Mr,0
175,56.0,30.6958,1,1,male,C,Mr,0
705,26.0,7.8542,2,3,male,S,Mr,0
570,32.0,7.8542,1,3,male,S,Mr,1
37,25.0,7.2292,1,3,male,C,Mr,1
210,40.0,31.0,1,1,male,C,Mr,1
682,27.0,76.7292,1,1,male,C,Mr,1
719,25.0,15.5,1,3,male,Q,Mr,0
109,38.0,7.8958,1,3,male,S,Mr,0
165,1.0,39.6875,6,3,male,S,Master,0
675,30.0,0.0,1,2,male,S,Mr,0
389,25.0,7.7292,1,3,male,Q,Mr,0
756,0.67,14.5,3,2,male,S,Master,1
47,25.0,15.5,2,3,male,Q,Mr,0
480,2.0,12.2875,2,3,female,S,Miss,1
678,18.0,9.8417,1,3,female,S,Miss,1
766,51.0,77.9583,2,1,female,S,Mrs,1
362,29.0,27.7208,2,2,male,C,Mr,0
598,49.0,0.0,1,3,male,S,Mr,0
771,24.0,9.5,1,3,male,S,Mr,0
329,31.0,20.525,3,3,female,S,Mrs,1
277,45.0,7.75,1,3,female,S,Miss,0
637,32.0,7.925,1,3,male,S,Mr,0
703,18.0,14.4542,2,3,female,C,Miss,0
855,44.0,26.0,2,2,female,S,Mrs,0
872,47.0,52.5542,3,1,female,S,Mrs,1
149,36.5,26.0,3,2,male,S,Mr,0
179,30.0,13.0,1,2,male,S,Mr,0
718,27.0,10.5,1,2,female,S,Miss,1
82,29.0,9.5,1,3,male,S,Mr,1
494,71.0,49.5042,1,1,male,C,Mr,0
821,52.0,93.5,3,1,female,S,Mrs,1
679,43.0,46.9,8,3,female,S,Mrs,0
288,22.0,7.8958,1,3,male,S,Mr,0
331,21.5,23.25,3,3,female,Q,Miss,1
167,35.0,55.0,2,1,female,S,Mrs,1
629,26.0,7.8958,1,3,male,S,Mr,0
730,25.0,7.925,2,3,female,S,Miss,0
816,40.0,0.0,1,1,male,S,Mr,0
319,31.0,164.8667,3,1,female,S,Miss,1
339,45.0,8.05,1,3,male,S,Mr,1
321,22.0,7.25,1,3,male,S,Mr,0
53,49.0,76.7292,2,1,female,C,Mrs,1
609,22.0,41.5792,4,2,female,C,Mrs,1
185,4.0,22.025,3,3,female,S,Miss,1
256,29.0,15.2458,3,3,female,C,Mrs,1
801,34.0,13.0,1,2,male,S,Mr,0
863,48.0,25.9292,1,1,female,S,Mrs,1
42,27.0,21.0,2,2,female,S,Mrs,0
514,54.0,59.4,2,1,female,C,Mrs,1
548,30.0,13.8625,1,2,male,C,Mr,1
547,19.0,26.0,2,2,female,S,Mrs,1
152,22.0,66.6,2,1,female,S,Mrs,1
332,45.5,28.5,1,1,male,S,Mr,0
65,40.0,27.7208,1,1,male,C,Mr,0
834,23.0,7.8542,1,3,male,S,Mr,0
489,30.0,8.05,1,3,male,S,Mr,0
532,25.0,7.2292,1,3,male,C,Mr,0
406,34.0,21.0,2,2,male,S,Mr,0
745,31.0,7.925,1,3,male,S,Mr,1
202,25.0,69.55,11,3,male,S,Mr,0
361,40.0,27.9,6,3,male,S,Mr,0
48,21.5,7.75,1,3,female,Q,Miss,1
71,32.0,10.5,1,2,male,S,Mr,0
683,20.0,9.225,1,3,male,S,Mr,0
378,27.0,211.5,3,1,male,C,Mr,0
124,32.5,13.0,1,2,female,S,Miss,1
195,44.0,27.7208,1,1,female,C,Mrs,1
136,23.0,15.0458,1,2,male,C,Mr,0
617,34.0,14.4,3,3,male,S,Mr,0
544,32.0,26.0,2,2,male,S,Mr,1
446,4.0,81.8583,3,1,male,S,Master,1
120,2.0,31.275,7,3,female,S,Miss,0
414,30.0,0.0,1,2,male,S,Mr,0
344,25.0,13.0,1,2,male,S,Mr,0
90,24.0,8.05,1,3,male,S,Mr,0
837,21.0,8.6625,1,3,male,S,Mr,0
440,31.0,10.5,1,2,male,S,Mr,0
318,54.0,14.0,1,2,male,S,Others,0
86,33.0,15.85,4,3,female,S,Mrs,1
734,23.0,13.0,1,2,male,S,Mr,0
146,19.0,36.75,3,2,male,S,Mr,0
281,65.0,7.75,1,3,male,Q,Mr,0
491,25.0,19.9667,2,3,male,S,Mr,0
866,42.0,13.0,1,2,female,S,Mrs,1
145,18.0,11.5,1,2,male,S,Mr,0
222,27.0,13.0,1,2,male,S,Mr,0
125,54.0,77.2875,2,1,male,S,Mr,0
525,25.0,7.2292,1,3,male,C,Mr,0
111,47.0,52.0,1,1,male,S,Mr,0
60,11.0,46.9,8,3,male,S,Master,0
121,21.0,73.5,3,2,male,S,Mr,0
243,29.0,10.5,1,2,male,S,Mr,0
